wavelength,u,g,r,i,z,Y
669,0.00000,0.00001,0.52045,0.00035,0.00004,0.00038
670,0.00000,0.00001,0.52127,0.00030,0.00004,0.00039
671,0.00000,0.00001,0.52118,0.00032,0.00003,0.00040
672,0.00000,0.00001,0.52184,0.00033,0.00003,0.00040
673,0.00000,0.00001,0.52159,0.00214,0.00003,0.00041
674,0.00000,0.00001,0.52208,0.00396,0.00002,0.00041
675,0.00000,0.00001,0.52151,0.00222,0.00002,0.00042
676,0.00000,0.00001,0.52169,0.00047,0.00001,0.00042
677,0.00000,0.00001,0.52164,0.00056,0.00001,0.00043
678,0.00000,0.00001,0.52232,0.00064,0.00001,0.00044
679,0.00000,0.00001,0.52258,0.00072,0.00000,0.00044
680,0.00000,0.00001,0.52358,0.00080,0.00000,0.00045
681,0.00000,0.00001,0.52544,0.00087,0.00000,0.00044
682,0.00000,0.00002,0.52563,0.00095,0.00000,0.00043
683,0.00000,0.00002,0.52599,0.00106,0.00000,0.00042
684,0.00000,0.00002,0.52561,0.00117,0.00000,0.00041
685,0.00000,0.00003,0.52545,0.00133,0.00000,0.00041
686,0.00000,0.00003,0.52380,0.00148,0.00000,0.00040
687,0.00000,0.00003,0.45398,0.00145,0.00000,0.00034
688,0.00000,0.00003,0.47555,0.00170,0.00000,0.00034
689,0.00000,0.00003,0.47003,0.00250,0.00000,0.00033
690,0.00000,0.00003,0.48065,0.00233,0.00000,0.00033
691,0.00000,0.00003,0.50044,0.00273,0.00000,0.00032
692,0.00000,0.00003,0.50573,0.00312,0.00000,0.00030
693,0.00000,0.00003,0.50839,0.00379,0.00000,0.00028
694,0.00000,0.00003,0.50735,0.00443,0.00000,0.00026
695,0.00000,0.00003,0.51148,0.00577,0.00000,0.00024
696,0.00000,0.00002,0.51339,0.00711,0.00000,0.00021
697,0.00000,0.00002,0.52101,0.01045,0.00000,0.00019
698,0.00000,0.00002,0.51902,0.01363,0.00000,0.00017
699,0.00000,0.00002,0.51422,0.04628,0.00000,0.00014
700,0.00000,0.00002,0.51624,0.03292,0.00000,0.00016
701,0.00000,0.00002,0.51714,0.04638,0.00000,0.00017
702,0.00000,0.00002,0.52102,0.06010,0.00000,0.00019
703,0.00000,0.00002,0.52574,0.08735,0.00000,0.00020
704,0.00000,0.00002,0.52522,0.11407,0.00000,0.00022
705,0.00000,0.00002,0.51969,0.15083,0.00000,0.00023
706,0.00000,0.00002,0.51788,0.18851,0.00000,0.00025
707,0.00000,0.00002,0.51369,0.23260,0.00000,0.00026
708,0.00000,0.00003,0.50875,0.27654,0.00000,0.00028
709,0.00000,0.00003,0.47560,0.35156,0.00000,0.00030
710,0.00000,0.00003,0.46584,0.35919,0.00000,0.00031
711,0.00000,0.00003,0.47325,0.39753,0.00000,0.00031
712,0.00000,0.00003,0.48072,0.43618,0.00000,0.00030
713,0.00000,0.00003,0.44097,0.45949,0.00000,0.00030
714,0.00000,0.00003,0.40200,0.48335,0.00000,0.00029
715,0.00000,0.00003,0.31305,0.49618,0.00000,0.00029
716,0.00000,0.00003,0.22429,0.50821,0.00000,0.00028
717,0.00000,0.00003,0.14939,0.49859,0.00000,0.00027
718,0.00000,0.00003,0.07976,0.49527,0.00000,0.00026
719,0.00000,0.00003,0.06763,0.49170,0.00000,0.00026
720,0.00000,0.00003,0.05552,0.48666,0.00000,0.00025
721,0.00001,0.00003,0.09334,0.50827,0.00000,0.00026
722,0.00000,0.00004,0.00781,0.51965,0.00000,0.00027
723,0.00000,0.00004,0.00645,0.51573,0.00000,0.00026
724,0.00000,0.00004,0.00504,0.50363,0.00001,0.00026
725,0.00000,0.00005,0.00345,0.50804,0.00001,0.00026
726,0.00000,0.00005,0.00185,0.50948,0.00001,0.00026
727,0.00000,0.00005,0.00139,0.51420,0.00001,0.00026
728,0.00000,0.00006,0.00091,0.51440,0.00002,0.00026
729,0.00000,0.00006,0.00085,0.51975,0.00002,0.00026
730,0.00000,0.00006,0.00078,0.51905,0.00002,0.00026
731,0.00000,0.00007,0.00095,0.51644,0.00002,0.00026
732,0.00000,0.00007,0.00078,0.52598,0.00003,0.00027
733,0.00000,0.00007,0.00056,0.53199,0.00003,0.00027
